metric,value
accuracy,0.9206635412910206
balanced_accuracy,0.9270781340539176
precision,0.9704142011834319
recall,0.9060773480662984
f1,0.9371428571428572
roc_auc,0.9677997510083017
confusion_matrix,"[[913, 50], [170, 1640]]"
