variable,count,mean,median,std,min,max
access_time_min,10627.0,8.627646560647408,5.0,8.924646366381225,0.0,75.0
egress_time_min,10607.0,10.88809276892618,5.0,14.12746106521054,0.0,105.0
total_access_egress_time_min,10699.0,19.364052715207027,14.0,18.215400222346492,0.0,150.0
