egress_mode,n,share
walk,8080,0.7285843101893598
bus,928,0.08367899008115419
subway,482,0.04346257889990983
pov,479,0.043192064923354374
other,395,0.035617673579801626
missing,377,0.03399458972046889
rail,349,0.031469792605951306
