definition,term,coefficient,odds_ratio,ci_low,ci_high,p_value,n_observations,pseudo_r2,status,reason
any_nonwalking_access_or_egress,access_time_min,0.049224412721223805,1.0504560599939106,1.0439547005007241,1.0569979075228706,1.8557797003385528e-54,11090.0,0.21888546206768567,,
any_nonwalking_access_or_egress,egress_time_min,0.058929007752559694,1.0606999365948266,1.0557314459359752,1.065691809998904,1.2790886386187944e-133,11090.0,0.21888546206768567,,
total_access_egress_time_gt_10,access_time_min,3.1008832409179883,22.217566081330695,17.489090968832734,28.224465380046084,2.7314636425583033e-142,11090.0,0.9185888202952427,,
total_access_egress_time_gt_10,egress_time_min,3.030292039976152,20.70327789139328,16.31813610028899,26.266830526107878,1.96511604552506e-137,11090.0,0.9185888202952427,,
total_access_egress_time_gt_15,,,,,,,,,skipped,Singular matrix
