trip_purpose_group,n,multimodal_share,mean_access_time,median_access_time,mean_egress_time,median_egress_time,mean_total_time
commuting/work,3633,0.734654555463804,9.694491287240023,7.0,12.456105796285875,7.0,21.98827470686767
leisure/social,989,0.6825075834175935,9.113326337880379,5.0,11.25183630640084,6.0,20.216666666666665
other,4840,0.6150826446280991,8.240810037420207,5.0,10.326782954294547,5.0,18.39807734323793
shopping/errands,1628,0.5644963144963145,7.037507946598856,5.0,8.738383195416931,5.0,15.694936708860759
